index,word,meaning
1,provide,"[동] 제공하다, 공급하다, 준비하다"
2,develop,"[동] 개발하다, 발달하다, 발전시키다"
3,service,"[명] 서비스, 근무, 봉사, 공공 업무"
4,inform,"[동] 알리다, 통지하다"
5,relationship,[명] 관계
6,improve,"[동] 향상시키다, 나아지다, 향상하다"
7,individual,"[형] 개인의, 개인적인[명] 개인"
8,require,"[동] 요구하다, 필요로 하다"
9,advise,"[동] 충고하다, 조언하다"
10,social,"[형] 사회의, 사교적인"
11,amount,"[명] 총액, 총계, 양[동] 총계가 ~이 되다"
12,behave,[동] 행동하다
13,employ,"[동] 고용하다, 쓰다"
14,attitude,"[명] 태도, 입장"
15,research,"[명] 연구하다, 조사하다[명] 연구, 조사"
16,audience,"[명] 청중, 관객"
17,volunteer,"[명] 지원자, 자원봉사, 자원봉사자[동] 지원하다, 자원봉사하다"
18,influence,"[명] 영향, 영향을 미치는 것[사람][동] 영향을 미치다"
19,terrible,"[형] 끔직한, 형편없는, 무서운"
20,opportunity,[명] 기회
21,ability,"[명] 능력, 재능"
22,expense,"[명] 비용, 지출"
23,local,"[형] 지역의, 장소의, 지방의"
24,involve,"[동] 관련시키다, 포함하다, 관련되다"
25,stress,"[명] 스트레스, 긴장, 강조[동] 강조하다, 압력을 주다"
26,therefore,"[부] 그러므로, 그 결과"
27,positive,"[형] 긍정적인, 낙관적인, 확신하는"
28,average,"[형] 평균의, 보통의[명] 평균, 보통 수준[동] 평균 ~이다"
29,ride,"[동] 타다[명] 타기, 태우기, 타고가기"
30,encourage,"[동] 격려하다, 권장하다, 부추기다, 촉구하다"
31,determine,"[동] 결정하다, 결심하다"
32,international,"[형] 국제의, 국제적인"
33,consume,"[동] 소비하다, 먹다[마시다]"
34,impress,"[동] 감동시키다, 깊은 인상을 주다"
35,object,"[명] 물건, 물체, 목표[동] 반대하다"
36,available,"[형] 이용할 수 있는, 쓸모있는, 시간이 있는"
37,contain,"[동] 들어있다, 포함하다, 함유하다, 억제하다"
38,recognize,"[동] 인지하다 , 인정하다, 알아보다"
39,material,"[명] 재료, 소재, 물질[형] 물질의"
40,comfort,"[명] 편안, 평안함, 위안, 위로[동] 편안하게 하다, 위로하다"
41,emotion,[명] 감정
42,amaze,[동] 놀라게 하다
43,reduce,"[동] 줄이다, 낮추다"
44,discover,"[동] 발견하다, 알아내다"
45,decide,"[동] 결정하다, 결심하다"
46,benefit,"[명] 이익, 혜택[동] 도움이 되다"
47,affect,[동] 영향을 미치다
48,level,"[명] 수준, 정도, 수평[형] 수평의"
49,chemistry,[명] 화학
50,immediate,"[형] 즉각적인, 시급한, 직접적인"
51,thus,"[부] 그러므로, 따라서"
52,proper,"[형] 적절한, 알맞은"
53,performance,"[명] 공연, 성과"
54,essence,"[명] 본질, 정수"
55,economic,"[형] 경제의, 경제학의"
56,cell,[명] 세포
57,focus,[동] 집중하다[명] 초점
58,issue,"[명] 논란거리, 쟁점, 문제"
59,participate,"[동] 참여하다, 참가하다(in)"
60,demand,"[명] 요구, 수요[동] 요구하다"
61,occur,"[동] 발생하다, 일어나다, (생각이) 떠오르다"
62,complex,"[형] 복잡한[명] 복잡체, 복합 건물"
63,define,"[동] 정의하다, 한계 짓다, 한정하다, 규정하다"
64,proud,[형] 자랑스러워하는
65,aware,"[형] 인지하는, 인식하고 있는, 알고 있는"
66,contact,"[동] 연락하다[명] 접촉, 연락"
67,profession,"[명] 직업, 직종, 전문직"
68,detail,"[명] 세부, 세부사항[동] 상술하다"
69,approach,[동] 접근하다[명] 접근
70,career,"[명] 직업, 경력"
71,package,"[명] 꾸러미, 포장, 포장된 짐[동] 포장하다"
72,disappear,[동] 사라지다
73,novel,[명] 소설
74,secure,"[형] 안전한, 안정된[동] 안전하게 하다"
75,fashion,"[명] 유행, 패션, 방식[동] 만들어 내다"
76,despite,[전] ~에도 불구하고
77,background,"[명] (그림, 사람, 사건)배경, 배경 지식"
78,solution,"[명] 해결, 해결책"
79,generate,"[동] 일으키다, 발생시키다"
80,eventually,[부] 결국
81,decrease,"[동] 줄다[감소하다], 줄이다[명] 감소"
82,recycle,[동] 재활용하다
83,desire,"[명] 욕구, 욕망[동] 바라다"
84,balance,"[명] 균형, 은행 잔고[동] 균형을 이루다"
85,negative,[형] 부정적인
86,follow,"[동] 따라가다,  (규칙을) 따르다"
87,account,"[명] 은행 계좌, 이야기, 설명[동] 설명하다"
88,publish,"[동] 발표하다, 출판하다"
89,occasion,"[명] 경우, 특별한 일"
90,replace,[동] 대체하다
91,constant,"[형] 일정한, 불변의[명] (수학에서의) 상수"
92,expert,[명] 전문가
93,term,"[명] 용어, 기간, 학기"
94,relieve,"[동] 경감하다, 안도시키다"
95,describe,"[동] 묘사하다, 표현하다"
96,biology,[명] 생물학
97,due,"[형] 만기의, ~하기로 되어 있는"
98,equipment,"[명] 장치, 장비"
99,congratulate,[동] 축하하다
100,birth,[명] 탄생
101,compose,"[동] 구성하다, 작곡하다, 작문하다"
102,genius,"[명] 천재, 천재성"
103,reflect,"[동] 반영하다, 반사하다, 숙고하다"
104,cause,"[동] ~의 원인이 되다, 야기하다[명] 원인"
105,frequent,"[형] 빈번한[동] (장소,모임에) 자주 가다"
106,factor,"[명] 요인, 요소"
107,extreme,[형] 극단의[명] 극단
108,tend,"[동] ~하는 경향이 있다, 돌보다"
109,politics,"[명] 정치, 정치학"
110,insist,[동] 주장하다
111,extend,"[동] 연장하다, 넓히다"
112,lonely,[형] 외로운
113,habitat,"[명] 서식지, 주거지"
114,mental,[형] 정신의
115,steady,"[형] 안정된, 한결같은, 꾸준한"
116,exchange,[동] 교환하다
117,active,"[형]  활동적인, 적극적인"
118,species,[명] (생물분류상의) 종
119,athletic,"[형] 운동의, 운동경기의"
120,dental,[형] 치아의
121,delight,[명] 기쁨[동] 기쁘게 하다
122,confident,[형] 자신 있는
123,gradually,"[부] 점차, 서서히"
124,shadow,[명] 그림자[동] 그늘지게 하다
125,access,"[명] 접근, 이용[동] 접근하다"
126,announce,"[동] 발표하다, 알리다"
127,allow,"[동] 허락하다, 인정하다"
128,firm,"[형] 확고한, 단단한[명] 회사"
129,vary,"[동] 바꾸다, 변하다, 다르다"
130,injure,"[동] 상처를 입히다, 손상시키다"
131,permit,[동] 허용[허락]하다
132,response,"[명] 응답, 반응"
133,threat,"[동] 위협, 협박"
134,electricity,[명] 전기
135,disabled,"[형] 장애를 가진, 무능력하게 된"
136,lack,[명] 부족[동] ~이 부족하다
137,signify,"[동] 의미하다, 중요하다"
138,concentrate,[동] 집중하다
139,emphasize,[동] 강조하다
140,astronomy,[명] 천문학
141,flood,[명] 홍수[동] 범람시키다
142,fuel,[명] 연료[동] 연료를 가하다
143,manufacture,"[동] 제조하다[명] 제조(업), 제품"
144,movement,"[명] 움직임, 운동"
145,capable,"[형] ~을 할 수 있는, 유능한"
146,combine,"[동] 결합하다, 겸비하다"
147,gene,[명] 유전자
148,increase,"[동] (수량이) 증가하다[명] 증가, 이자"
149,victim,"[명] 희생, 피해자"
150,pressure,"[명] 압력, 압박[동] 압력을 가하다"
151,accompany,"[동] 동반[동행]하다, 수반하다"
152,frustrate,[동] 좌절시키다
153,construct,[동] 건설하다
154,dwindle,"[동] 점점 줄어들다, 저하되다"
155,commerce,"[명] 상업, 교역"
156,entertain,[동] 즐겁게 하다
157,predict,"[동] 예언하다, 예측하다"
158,apologize,[동] 사과하다
159,sight,"[명] 시야, 광경, 시력"
160,quantity,[명] 양
161,conclude,"[동] 결론짓다, 끝내다"
162,donate,[동] 기부하다
163,personality,"[명] 개성, 성격, 특색"
164,struggle,"[동] 싸우다, 노력하다[명] 투쟁, 노력"
165,advantage,"[명] 유리한 점, 이점"
166,variety,"[명] 다양, 다양성"
167,enable,[동] 가능하게 하다
168,instruction,"[명] 지시, 제품 사용 설명서, 가르침"
169,assume,"[동] 추정하다, (태도 등을) 취하다"
170,attempt,[동] 시도하다[명] 시도
171,incredible,"[형] 믿을 수 없는, (믿기 어려울 만큼) 굉장한"
172,feature,"[명] 특징, 특집 기사, 얼굴 생김새[동] ~을 특징으로 하다, 주연하다"
173,confuse,"[동] 혼동하다, 혼란시키다"
174,electronic,[형] 전자의
175,absorb,"[동] 흡수하다, (사람, 마음을) 열중시키다"
176,indicate,"[동] 가리키다, 나타내다"
177,analyze,[동] 분석하다
178,stock,"[명] 재고품, 저장, 가축[동] 저장하다, (물품을) 들여놓다"
179,resident,[명] 거주자
180,labor,"[명] 노동, 산고[동] 노동하다"
181,remark,"[명] 의견, 주목[동] 의견을 말하다, ~에 주목하다"
182,moral,[형] 도덕적인
183,embarrassed,[형] 당황한
184,claim,"[동] 주장하다[명] 요구, 주장"
185,reasonable,"[형] 논리적인, 분별력 있는"
186,interrupt,"[동] 방해하다, 중단하다"
187,discount,[명] 할인[동] 할인하다
188,creature,"[명] 생물, 피조물"
189,heal,"[동] 치료하다, 낫게 하다"
190,establish,"[동] 설립하다, 확립하다, 제정하다"
191,revolution,"[명] 혁명, 갑작스러운 변화, 회전"
192,criticize,[동] 비난하다
193,convince,"[동] 확신시키다, 납득시키다"
194,efficient,"[형] 효율적인, 유능한"
195,stranger,"[명] 낯선 사람, 문외한"
196,tide,"[명] 조수, 흐름"
197,obtain,"[동] 획득하다, 통용되다, 행해지다"
198,assist,[동] 도움을 주다
199,disaster,"[명] 재앙, 재난, 재해"
200,terrific,"[형] 굉장한, 훌륭한"
201,specific,"구체적인, 특정한"
202,react,"반응하다, 반작용하다"
203,independent,독립적인
204,theory,이론
205,qualify,자격을 얻다
206,consider,"숙고하다, 고려하다"
207,recall,"상기하다, 철회하다, 회수하다; 상기, 철회"
208,risk,위험; 위험을 감수하다
209,treatment,"취급, 대우, 치료(법)"
210,engage,"관여하다, 약속하다, 약혼하다"
211,motivate,동기를 부여하다
212,clue,"실마리, 단서"
213,cancer,"암, 악성 종양"
214,elder,나이가 위인; 연장자
215,depress,"우울하게 하다, 의기소침(낙담)하게 하다"
216,fascinate,"매료시키다, 마음을 빼앗다"
217,violent,"난폭한, 폭력적인"
218,alarm,"놀람, 경보"
219,edge,"가장자리, 날카로움, 우위"
220,deserve,~을 받을 만하다(가치가 있다)
221,route,"길, 통로, 항로"
222,psychology,"심리, 심리학"
223,passion,열정
224,import,"수입하다, 의미하다; 수입"
225,purchase,구매하다; 구매
226,conscience,양심
227,pose,"자세를 취하다, (문제를) 제기하다; 자세"
228,length,길이
229,severe,"심한, 엄격한"
230,decade,"10년, 10년간"
231,occupy,"(시간, 장소를) 차지하다, 전념하다"
232,acquire,습득하다
233,interact,상호 작용하다
234,brief,간단한; 간단한 보고; 간단히 알리다
235,observe,"관찰하다, ~을 보다, 준수하다"
236,poetry,"시, 운문"
237,salary,"급료, 봉급"
238,grain,"곡물, 낟알"
239,meaningful,"의미 있는, 의미심장한"
240,weed,잡초; 잡초를 제거하다
241,survival,[명] 생존
242,comment,"[명] 논평, 주석
[동] 논평하다"
243,leap,"[동] 뛰다, 도약하다
[명] 도약"
244,survey,"[동] 둘러보다, 조사하다
[명] 설문 조사"
245,typical,"[형] 전형적인, 대표적인"
246,mere,[형] 단지 ~에 불과한
247,mechanic,[명] 기계공
248,mood,"[명] 분위기, 기분"
249,approve,"[동] 승인하다, 찬성하다"
250,rural,[형] 시골의
251,finance,"[명] 재정, 자금
[동] 자금을 조달하다"
252,seek,"[동] 찾다, 추구하다"
253,operation,"[명] 작업, 운영, 수술"
254,crime,[명] 범죄
255,awful,"[형] 끔찍한, 지독한"
256,series,"[명] 연속, 시리즈물"
257,exhausted,"[형] 고갈된, 기진맥진한"
258,absolute,"[형] 완전한, 절대적인"
259,surround,[동] 둘러싸다
260,display,"[동] 전시하다, 나타내다
[명] 전시"
261,policy,"[명] 정책, 수단"
262,mass,"[명] 덩어리, 집단"
263,committee,[명] 위원회
264,accurate,[형] 정확한
265,arrange,"[동] 정리하다, 준비하다"
266,facility,"[명] 시설, 편의"
267,consult,"[동] 상담하다, 참고하다"
268,refer,"[동] 언급하다, 위탁하다"
269,attach,"[동] 붙이다, 첨부하다"
270,recover,"[동] 회복하다, 되찾다"
271,reward,"[명] 보상
[동] 보답하다"
272,enormous,"[형] 엄청난, 거대한"
273,domestic,"[형] 국내의, 가정의"
274,wealth,"[명] 부, 재산"
275,elementary,"[형] 초보의, 기초적인"
276,gap,"[명] 격차, 틈"
277,except,"[전] ~을 제외하고
[동] 제외하다"
278,journey,[명] 여행
279,plain,"[형] 평범한, 명백한"
280,downtown,"[명] 도심
[형]도심의
[부] 도심지에서"
281,previous,"[형] 이전의, 앞의"
282,produce,"[동] 생산하다, 제조하다"
283,remain,"[동] 여전히 ~이다, 남다"
284,break,"[동] 깨다, 고장내다"
285,slight,"[형] 약간의, 경미한"
286,include,[동] 포함하다
287,delay,"[동] 연기하다, 미루다[명] 지연"
288,file,"[명] 서류철[동] 파일에 철하다, 제기하다"
289,ethic,[명] 윤리
290,instant,"[형] 즉각의, 즉석의[명] 순간"
291,reveal,"[동] 폭로하다, 드러내다"
292,breed,"[동] 낳다, 양육하다"
293,leisure,[명] 여가[형] 한가한
294,urban,[형] 도시의
295,witness,[명] 목격자[동] 목격하다
296,admit,"[동] 인정하다, 입학을 허가하다"
297,muscle,"[명] 근육, 힘"
298,device,"[명] 장치, 고안, 방책"
299,suppose,"[동] 추측하다, 가정하다"
300,owe,[동] 빚지고 있다
301,intend,"[동] ~할 작정이다, 의도하다"
302,aspect,"[명] 면, 관점"
303,potential,[형] 잠재적인[명] 잠재력
304,award,[명] 상[동] (상 등을) 수여하다
305,preserve,"[동] 보존하다, 보호하다"
306,spot,"[명] 장소, 점[동] 발견하다"
307,underground,"[형] 지하의, 비밀의[명] 지하"
308,consequence,"[명] 결과, 중요성"
309,target,[명] 목표[동] 목표로 삼다
310,unless,[접] 만약 ~이 아니면
311,accomplish,"[동] 이루다, 성취하다"
312,adopt,"[동] 입양하다, 채택하다"
313,unique,"[형] 독특한, 유일한"
314,slip,"[동] 미끄러지다, 실수하다[명] 종이 조각"
315,civilization,[명] 문명
316,row,"[명] 열, 줄[동] 배를 젓다"
317,horizon,[명] 지평선
318,atmosphere,"[명] 대기, 분위기"
319,label,"[명] 꼬리표, 상표[동] 라벨을 붙이다"
320,decorate,"[동] 장식하다, ~에게 훈장을 주다"
321,identify,"[동] ~임을 확인하다, 식별하다, 동일시하다"
322,standard,"[명] 표준, 기준
[형] 기준의, 표준의"
323,scale,"[명] 규모, 저울, 비늘"
324,evident,[형] 명백한
325,seldom,[부] 거의 ~않는
326,secretary,"[명] 비서, 장관"
327,basis,"[명] 원리, 기초"
328,automatic,"[형] 자동적인, 기계적인"
329,region,[명] 지역
330,rise,"[동] 일어나다, 오르다
[명] 상승"
331,addict,"[동] 중독시키다
[명] 중독자"
332,disappoint,[동] 실망시키다
333,artificial,"[형] 인공적인, 인조의"
334,possess,"[동] 소유하다, ~의 마음을 사로잡다"
335,substance,"[명] 물질, 본질, 실체"
336,realistic,"[형] 현실적인, 현실주의의"
337,encounter,"[동] (우연히) 만나다
[명] 마주침"
338,differ,"[동] 다르다, 의견을 달리하다"
339,principle,"[명] 원칙, 원리"
340,memorize,[동] 기억하다
341,physics,[명] 물리학
342,evaluate,[동] 평가하다
343,tremendous,"[형] 굉장한, 무시무시한"
344,application,"[명] 적용, 신청"
345,vote,"[명] 투표
[동] 투표하다"
346,spread,"[명] 퍼짐, 확산
[동] 펼치다, 퍼지다"
347,impact,"[명] 충격, 영향
[동] 충격을 주다"
348,cooperate,[동] 협력하다
349,emit,"[동] (빛, 열, 소리 등을)방출하다"
350,request,"[명] 요청
[동] 요청하다"
351,guarantee,"[동] 보장하다
[명] 보증"
352,resist,[동] 저항하다
353,fulfill,"[동] 달성하다, 이행하다"
354,stink,"[동] 역겹다, 악취를 풍기다"
355,grant,"[동] 수여하다, 승인하다"
356,rely,"[동] 의지하다, 믿다"
357,permanent,"[형] 영원한, 영구적인"
358,emergency,[명] 비상 사태
359,rid,[동] 제거하다
360,theme,"[명] 주제, 화제"
361,hesitate,"[동] 주저하다, 망설이다"
362,location,"[명] 위치, 장소"
363,restrict,"[동] 제한하다, 한정하다"
364,organism,"[명] 유기체, 생물"
365,resolve,"[동] 해결하다, 결심하다"
366,offer,"[동] 제공하다, 제안하다"
367,distribute,"[동] 분배하다, 분포시키다"
368,rainforest,[명] 열대우림
369,circumstance,"[명] 상황, 환경"
370,interpret,"[동] 해석하다, 통역하다"
371,suitable,"[형] 적절한, 적합한"
372,curve,"[명] 곡선, 속임수"
373,annoy,"[동] 괴롭히다, 귀찮게 하다"
374,frighten,[동] 겁먹게 하다
375,estimate,"[동] 평가하다[명] 견적, 평가"
376,refuse,[동] 거절하다
377,adventure,[명] 모험[동] 위험에 빠뜨리다
378,entrance,"[명] 입구, 입장"
379,persuade,[동] 설득하다
380,perceive,"[동] 인지하다, 인식하다"
381,recite,[동] 암송하다
382,gather,[동] 모으다
383,cabin,"[명] 객실, 선실, 오두막집"
384,gear,"[명] 장비,  기어[동] 맞게 조정하다"
385,ray,[명] 광선
386,release,"[동] 놓아주다, 방출하다[명] 석방, 발표"
387,rank,"[명] 지위, 계급[동] 매기다, (등급을)차지하다"
388,symphony,[명] 교향곡
389,envy,[동] 부러워하다[명] 부러움
390,corporate,"[형] 회사의, 법인의"
391,alternative,[명] 대안[형] 대안의
392,retire,[동] 은퇴하다
393,appeal,"[동] 호소하다, 관심을 끌다[명] 호소, 항의"
394,identical,"[형] 동일한, 일란성의"
395,investment,[명] 투자
396,autograph,[명] 서명[동] 서명하다
397,slave,[명] 노예
398,harm,"[명] 손해, 손상[동] 해치다"
399,authority,"[명] 권위, 당국"
400,innocence,"[명] 결백, 무죄, 순진"
401,infant,"[명] 유아, 유치원생"
402,calculate,[동] 계산하다
403,charity,[명] 자선 단체
404,receive,[동] 받다
405,whereas,"[접] 그런데, ~에 반해서"
406,board,"[명] 판자, 게시판[동] 타다"
407,ignorant,"[형] 무지한, 무식한"
408,depend,"[동] 의존하다, ~에 달려 있다"
409,pure,"[형] 순수한, 깨끗한"
410,extinct,"[형] 멸종된, 사라진"
411,household,[명] 가정[형] 가정의
412,chapter,"[명] (책의) 장, 시기, 사제단"
413,refund,[동] 환불하다[명] 환불금
414,institute,"[명] 기관, 협회"
415,lately,[부] 최근에
416,accept,[동] 받아들이다
417,ashamed,[형] 부끄러워하는
418,dense,"[형] 밀집한, (앞이 안 보이게) 짙은"
419,rescue,[동] 구출하다[명] 구출
420,continue,[동] 계속하다
421,destination,[명] 목적지
422,expand,"[동] 확장되다, 확장시키다"
423,evolution,"[명] 진화, 발전"
424,hire,[동] 고용하다
425,isolate,"[동] 고립시키다, 격리시키다"
426,gravity,[명] 중력
427,genuine,"[형] 진짜의, 진실된"
428,statue,[명] 조각상
429,compete,[동] 경쟁하다
430,military,"[형] 군의, 군사의[명] 군, 군대"
431,logic,"[명] 논리, 논리학"
432,commit,"[동] (죄 등을) 저지르다, 약속하다, 헌신하다"
433,sensible,"[형] 합리적인, 현명한"
434,sum,"[명] 금액, 합계"
435,conserve,"[동] 보존하다, 보호하다"
436,swing,"[동] 흔들다, 휘두르다"
437,marriage,"[명] 결혼, 결혼 생활"
438,reproduce,"[동] 번식하다, 재생하다, 복제하다"
439,tone,"[명] 음조, 어조, 억양 [동] 조화하다, 탄력있게 만들다"
440,concept,[명] 개념
441,invitation,[명] 초대
442,precise,"[형] 정확한, 정밀한"
443,formal,"[형] 공식적인, 격식을 차린"
444,particle,"[명] 작은 조각, 입자"
445,cancel,[동] 취소하다
446,return,"[동] 돌아가다, 돌려주다[명] 돌아감, 귀향"
447,departure,"[명] 출발, 떠남, 일탈"
448,apparent,[형] 명백한
449,visual,"[형] 눈에 보이는, 시각의"
450,agriculture,[명] 농업
451,rite,"[명] 의식, 의례"
452,poverty,[명] 가난
453,sculpture,[명] 조각상
454,descend,"[동] 내려가다, 내려오다"
455,leak,[동] 새다[명] 새는 구멍
456,portion,"[명] 부분, 1인분"
457,companion,"[명] 친구, 동료"
458,diligent,[형]근면한
459,distinct,"[형] 뚜렷한, 다른"
460,component,[명] 구성 요소[형] 구성하는
461,current,"[형] 현재의, 지금의"
462,universal,"[형] 보편적인, 전 세계의"
463,trap,[명] 덫[동] 가두다
464,eager,[형] 갈망하는
465,legal,"[형] 법률의, 합법적인"
466,demonstrate,"[동] 입증하다, 시위하다, 설명하다"
467,democracy,[명] 민주주의
468,mature,[형] 성숙한[동] 성숙하다
469,brilliant,"[형] 빛나는, 훌륭한"
470,annual,"[형] 연간의, 해마다의"
471,faith,"[명] 믿음, 신념"
472,spare,"[동] (시간, 돈을) 할애하다, (고생을) 면하게 하다[형] 여분의"
473,transfer,"[동] 이동하다, 옮기다, 환승하다[명] 이[동] 환승"
474,refrigerator,[명] 냉장고
475,oppose,[동] 반대하다
476,desperate,"[형] 절망적인, 필사적인"
477,remote,"[형] 멀리 떨어진, 원격 조정의"
478,offend,[동] 불쾌하게 하다
479,awake,[형] 깨어있는
480,aim,"[동] 목표로 하다, 겨누다[명] 목표"
481,option,"[명] 선택, 선택권"
482,insight,[명] 통찰력
483,achieve,"[동] 이루다, 성취하다"
484,civil,"[형] 시민의, 민간의"
485,pause,[동] 잠시 멈추다[명] 중단
486,prove,[동] 입증하다
487,lecture,[명] 강의[동] 강의를 하다
488,minor,"[형] 사소한, [명] 미성년자[동] 부전공하다"
489,duty,"[명] 의무, 관세"
490,vigor,[명] 활력
491,organize,"[동] 조직하다, 구성하다"
492,chief,"[명] 우두머리[형] 우두머리의, 주요한"
493,complicated,[형] 복잡한
494,digest,[동] 소화하다[명] 요약
495,shortage,"[명] 부족, 결함"
496,laboratory,[명] 실험실[형] 실험의
497,arrive,[동] 도착하다
498,generous,"[형] 관대한, 넉넉한"
499,laundry,[명] 세탁물
500,transform,"[동] 변형시키다, 변환하다"
501,discipline,"[명] 규율, 훈련[동] 훈육하다, 징계하다"
502,forbid,[동] 금지하다
